Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #marketing Frequency: 1.0 LogProb: -3.782329268996837
Word: #maternalhealth Frequency: 2.0 LogProb: -3.6062380099411557
Word: #mbca Frequency: 0.0 LogProb: -4.083359264660818
Word: #medicalnutrition Frequency: 0.0 LogProb: -4.083359264660818
Word: #meds Frequency: 1.0 LogProb: -3.782329268996837
Word: #memorialday Frequency: 0.0 LogProb: -4.083359264660818
Word: #mengniu Frequency: 0.0 LogProb: -4.083359264660818
Word: #mengnius Frequency: 0.0 LogProb: -4.083359264660818
Word: #mengniu䞻s Frequency: 0.0 LogProb: -4.083359264660818
Word: #mentor Frequency: 0.0 LogProb: -4.083359264660818
Word: #mentoring Frequency: 1.0 LogProb: -3.782329268996837
Word: #merapi Frequency: 0.0 LogProb: -4.083359264660818
Word: #merckformothers Frequency: 1.0 LogProb: -3.782329268996837
Word: #methanisation Frequency: 1.0 LogProb: -3.782329268996837
Word: #mexico Frequency: 0.0 LogProb: -4.083359264660818
Word: #mhealth Frequency: 2.0 LogProb: -3.6062380099411557
Word: #miamidade Frequency: 0.0 LogProb: -4.083359264660818
Word: #microbiota Frequency: 1.0 LogProb: -3.782329268996837
Word: #microcredit Frequency: 0.0 LogProb: -4.083359264660818
Word: #milan Frequency: 0.0 LogProb: -4.083359264660818
Word: #milo Frequency: 0.0 LogProb: -4.083359264660818
Word: #mlt_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #mobile Frequency: 0.0 LogProb: -4.083359264660818
Word: #modernworking Frequency: 1.0 LogProb: -3.782329268996837
Word: #monopod Frequency: 1.0 LogProb: -3.782329268996837
Word: #mrkhealthhack Frequency: 2.0 LogProb: -3.6062380099411557
Word: #mumbai Frequency: 2.0 LogProb: -3.6062380099411557
Word: #mwc_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #nationalhemophiliafoundation Frequency: 0.0 LogProb: -4.083359264660818
Word: #nationalwomenshealthweek Frequency: 0.0 LogProb: -4.083359264660818
Word: #ncs_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #neocate Frequency: 0.0 LogProb: -4.083359264660818
Word: #nesquik Frequency: 0.0 LogProb: -4.083359264660818
Word: #nestea Frequency: 0.0 LogProb: -4.083359264660818
Word: #nestl Frequency: 0.0 LogProb: -4.083359264660818
Word: #nestl`s Frequency: 0.0 LogProb: -4.083359264660818
Word: #nestle Frequency: 5.0 LogProb: -3.3052080142771745
Word: #nestlecocoa Frequency: 2.0 LogProb: -3.6062380099411557
Word: #nestlecsv Frequency: 0.0 LogProb: -4.083359264660818
Word: #nestleir Frequency: 0.0 LogProb: -4.083359264660818
Word: #netherlands Frequency: 0.0 LogProb: -4.083359264660818
Word: #network Frequency: 1.0 LogProb: -3.782329268996837
Word: #networking Frequency: 1.0 LogProb: -3.782329268996837
Word: #newmarkets Frequency: 0.0 LogProb: -4.083359264660818
Word: #newstakes Frequency: 2.0 LogProb: -3.6062380099411557
Word: #newzealand Frequency: 0.0 LogProb: -4.083359264660818
Word: #nhf Frequency: 0.0 LogProb: -4.083359264660818
Word: #nhs Frequency: 0.0 LogProb: -4.083359264660818
Word: #nigeria Frequency: 0.0 LogProb: -4.083359264660818
Word: #nins_number_ Frequency: 0.0 LogProb: -4.083359264660818
