Number of words in the corpus: 1352
Number of words in the corpus_todo: 5398
Word:  Frequency: 249.0 LogProb: -1.4313637641589874
Word: #pfizerrwanda Frequency: 0.0 LogProb: -3.829303772831025
Word: #pharma Frequency: 1.0 LogProb: -3.5282737771670436
Word: #philanthropy Frequency: 0.0 LogProb: -3.829303772831025
Word: #philippines Frequency: 0.0 LogProb: -3.829303772831025
Word: #plant Frequency: 0.0 LogProb: -3.829303772831025
Word: #poland Frequency: 0.0 LogProb: -3.829303772831025
Word: #prixgalien_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #profwomen Frequency: 1.0 LogProb: -3.5282737771670436
Word: #progressmakers Frequency: 13.0 LogProb: -2.6831757371527867
Word: #projectidesign Frequency: 0.0 LogProb: -3.829303772831025
Word: #projectidesigns Frequency: 0.0 LogProb: -3.829303772831025
Word: #projectidesign䞻s Frequency: 0.0 LogProb: -3.829303772831025
Word: #prospective Frequency: 0.0 LogProb: -3.829303772831025
Word: #prostokvashino Frequency: 0.0 LogProb: -3.829303772831025
Word: #psoriasis Frequency: 2.0 LogProb: -3.3521825181113623
Word: #purinas Frequency: 0.0 LogProb: -3.829303772831025
Word: #q_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #quito Frequency: 0.0 LogProb: -3.829303772831025
Word: #r&amp Frequency: 0.0 LogProb: -3.829303772831025
Word: #realdanger Frequency: 1.0 LogProb: -3.5282737771670436
Word: #realfood Frequency: 0.0 LogProb: -3.829303772831025
Word: #reputation Frequency: 0.0 LogProb: -3.829303772831025
Word: #research Frequency: 0.0 LogProb: -3.829303772831025
Word: #rmb Frequency: 0.0 LogProb: -3.829303772831025
Word: #rtra Frequency: 0.0 LogProb: -3.829303772831025
Word: #ruraldevelopment Frequency: 1.0 LogProb: -3.5282737771670436
Word: #ruralwomen Frequency: 0.0 LogProb: -3.829303772831025
Word: #sabre Frequency: 0.0 LogProb: -3.829303772831025
Word: #safety Frequency: 0.0 LogProb: -3.829303772831025
